Word                          	Frequency
нашими                        	1
джавелін                      	1
де                            	1
оркам                         	1
питай                         	1
орка                          	2
поле                          	1
зсу                           	7
тракторі                      	1
україні                       	1
орків                         	1
зморений                      	1
на                            	3
вивезу                        	1
воді                          	1
рунт                          	2
не                            	2
поверну                       	1
повернувся                    	1
збирай                        	1
педалях                       	1
bitch                         	1
дав                           	1
виїхав                        	1
орк                           	1
його                          	1
місячна                       	1
та                            	1
взяв                          	1
а                             	1
в                             	3
корабель                      	1
з                             	1
тіло                          	2
краще                         	1
їздить                        	1
ясная                         	1
може                          	1
ніч                           	1
бендеравтомобіль              	1
максимум                      	1
у                             	1
подарую                       	1
танками                       	1
дає                           	1
буде                          	1
зоряна                        	1
дужедовгесловодляперевіркинад 	1
ляже                          	2
я                             	1
нептун                        	1
яка                           	1
видно                         	1
і                             	1
руснявий                      	1
так                           	1
собі                          	1
тризубом                      	1
хоч                           	2
по                            	3
хвилиночку                    	1
допоможе                      	5
дорозі                        	1
нахабам                       	1
гай                           	1
вийди                         	1
прокинувся                    	1
слава                         	1
потопив                       	1
